Date,Open,High,Low,Close,SSC,plot_dowPeak,plot_dowTrough,last_dow_profit,ATR20,LDV4,LWV4,MVF
19/07/2023,45650,45748.8,45486.3,45717.6,nan,nan,44674.6,67.85,432.6,0,0,0.505714
18/07/2023,45750,45925,45356,45484.5,nan,nan,44674.6,67.85,442.6,0,0,0.282514
17/07/2023,44960.1,45588.2,44777.9,45504.9,nan,nan,43313.3,67.85,439.1,0,0,1.59763
14/07/2023,44882.2,44965,44674.6,44902.7,44674.6,nan,43313.3,67.85,431.85,1,0,0.507988
13/07/2023,45098.9,45133.7,44728.2,44776.4,nan,nan,43313.3,67.85,450.05,1,0,0.107534
12/07/2023,44955.6,45017.7,44750,44803.3,nan,nan,43313.3,67.85,442.5,1,0,0.118964
11/07/2023,45051.1,45180,44786.6,44871.5,nan,nan,43313.3,67.85,439.05,0,0,0.189207
10/07/2023,45045,45249.6,44814.5,44945,nan,nan,43313.3,67.85,428.55,0,0,0.290244
7/07/2023,45225,45299.5,44920,45029.6,nan,nan,43313.3,67.85,420.95,1,0,0.243395
6/07/2023,45190,45460.6,45130.1,45411.2,nan,nan,43313.3,67.85,420.2,1,0,0.61901
5/07/2023,45299.8,45480,45175,45237.3,nan,nan,43313.3,67.85,409.9,0,0,0.137718
4/07/2023,45366.6,45747.8,45092.3,45364.5,45747.8,nan,43313.3,67.85,404.65,0,0,0.600029
3/07/2023,44989,45445,44906.2,45274.1,nan,nan,43313.3,67.85,386.9,0,0,0.812495
30/06/2023,44625.5,44893.2,44551.1,44850.5,nan,nan,43313.3,67.85,373.35,0,0,0.667551
28/06/2023,44226.2,44520,44134.1,44316.3,nan,nan,43313.3,67.85,365.95,0,1,0.411135
27/06/2023,43769.2,44155,43701,44089.5,nan,44082.1,43313.3,67.85,368.45,0,1,1.22204
26/06/2023,43313.3,43770,43313.3,43687,43313.3,44082.1,nan,69.95,355.85,1,1,2.59308
23/06/2023,43710,43850,43563.1,43671.7,nan,44234.9,nan,69.95,355.85,1,1,2.03131
22/06/2023,43944.9,44082.1,43713.6,43774,44082.1,44234.9,nan,69.95,366.05,1,1,1.69297
21/06/2023,43900.5,44026.7,43775,43940.1,nan,44234.9,nan,69.95,365.85,1,1,0.375625
20/06/2023,43750,43915,43450.1,43864.8,43450.1,44310.1,nan,69.95,370.05,0,1,0.945406
19/06/2023,44086.1,44124.4,43625.2,43788.1,nan,44310.1,nan,69.95,355.7,0,1,0.81
16/06/2023,43657.1,44234.9,43600,44042.6,44234.9,44310.1,nan,69.95,346.65,0,1,1.00494
15/06/2023,44150,44180,43526,43570.1,43526,44545.5,nan,69.95,338.05,0,1,1.00336
14/06/2023,44310.1,44310.1,44055,44144.2,44310.1,44545.5,nan,69.95,322.6,1,1,0.202065
13/06/2023,44050,44247,44048,44216.7,nan,44545.5,nan,69.95,334.35,1,1,0.381417
12/06/2023,44160,44174.6,43991.6,44097.6,43991.6,44545.5,nan,69.95,338,1,1,0.240263
9/06/2023,44178.2,44325.9,44042.4,44118,nan,44545.5,nan,69.95,351.1,1,1,0.171245
8/06/2023,44399,44545.5,44069.7,44147.4,44545.5,44545.5,44150,69.95,363.95,1,1,0.176001
7/06/2023,44400,44424.8,44300,44394.4,nan,nan,43861,-555.7,356.65,1,1,0.212639
6/06/2023,44282,44350,44150,44309.1,44150,nan,43861,-555.7,375.5,1,1,0.359069
5/06/2023,44242,44411,44202.7,44286.2,44411,nan,43385.6,-555.7,384.85,1,1,0.188434
2/06/2023,44115,44271.5,43950,44110.6,nan,nan,43385.6,-555.7,406.7,0,1,0.364085
1/06/2023,44226,44290,43861,43948.2,43861,nan,43385.6,-555.7,441.95,0,0,0.198529
31/05/2023,44377.7,44425,43986.2,44241.7,nan,nan,43385.6,-555.7,444.6,1,0,0.577284
30/05/2023,44325,44496.5,44280.1,44466.3,nan,nan,43385.6,-555.7,433.1,0,0,0.418856
29/05/2023,44225,44525,44200,44368.3,44525,nan,43385.6,-555.7,435.35,0,0,0.379325
26/05/2023,43785,44149,43658,44068.3,nan,44080,43385.6,-555.7,432.45,1,0,0.931055
25/05/2023,43650,43750,43385.6,43692.3,43385.6,44080,43524.3,-170.7,422.3,1,0,0.702182
24/05/2023,43825.4,44014.6,43679.2,43719.2,nan,nan,43524.3,-578.05,424.5,1,0,0.0916073
23/05/2023,43953.2,44080,43902,43981.5,44080,nan,43524.3,-578.05,419.55,1,0,0.180758
22/05/2023,43989.9,44020,43701.2,43922.8,nan,nan,43465,-578.05,439,1,0,0.504635
19/05/2023,43900,44016.8,43524.3,43967.2,43524.3,nan,43465,-578.05,444.5,1,0,1.00723
